Resolved DCT (from GHL),Webinar Cycle,Notes
DCT 107_UGC_Webinar_Iterations_June25,Jun 2025 cycle,Original UTM confirmed
DCT_106_StaticAd_Iteration_June25,Jun 2025 cycle,Original UTM confirmed
DCT 107_UGC_Webinar_Iterations_June25,Jun 2025 cycle,Original UTM confirmed
DCT_160_Jan15th,Live 1/15/26,GHL has full UTM! ROAS sheet had no close date
DCT 107_UGC_Webinar_Iterations_June25,Jul 2025 cycle,Original UTM confirmed
DCT 112_Webinar_Static Ad_july15,Jul 2025 cycle,Original UTM confirmed
DCT_109_Webinar_General_UGC,Jun 2025 cycle,Original UTM confirmed
DCT_122_TOV_Webinar_Iteration of 7 Day,Aug 2025 cycle,Original UTM confirmed
DCT_106_StaticAd_Iteration_June25,,Original UTM confirmed
DCT_122_TOV_Webinar_Iteration of 7 Day,,Original UTM confirmed
DCT 109_Webinar_General_UGC,Aug 2025 cycle,Original UTM confirmed
DCT_107_Webinar_UGC_Iteration_Aug_14_2025,,Original UTM confirmed
DCT_122_TOV_Webinar_Iteration of 7 Day,Jul 2025 cycle,Original UTM confirmed
DCT_107_Webinar_UGC_Iteration_Aug_14_2025,Aug 2025 cycle,Original UTM confirmed
DCT_107_Webinar_UGC_Iteration_Aug_14_2025,Aug 2025 cycle,Original UTM confirmed
DCT 112_Webinar_Static Ad_August 26,,Original UTM confirmed
DCT_107_Webinar_UGC_Iteration_Aug_14_2025_MainDescriptionTEST,,Original UTM confirmed
DCT 107_UGC_Webinar_Iterations_June25,Sep 2025 cycle,Original UTM confirmed
DCT 107_UGC_Webinar_Iterations_June25,,Original UTM confirmed
"DCT_ 107_UGC_IterationDate_Sept 25, 2025",,Original UTM confirmed
DCT_122_TOV_Webinar_Iteration of 7 Day,,Original UTM confirmed
"DCT_ 107_UGC_IterationDate_Sept 25, 2025",,Original UTM confirmed
DCT_139_DCT_107_Oct_27th,,Original UTM confirmed
DCT_139_DCT_107_Oct_27th,,Original UTM confirmed
C -DCT_137_VSL_TOV_Iteration132_October 27,,Original UTM confirmed
DCT_142_Nov18th,,Original UTM confirmed
DCT_142_Nov18th,,Original UTM confirmed
C -DCT_135_VSl Iteration for Live_V1,,Original UTM confirmed
DCT_142_Nov18th,,Original UTM confirmed
DCT_005_Dec 1st,,Original UTM confirmed
DCT_142_Dec 11th – New Copy,,Original UTM confirmed
DCT_107_Dec 11th – UGC,,Original UTM confirmed
DCT_142_Dec 11th – New Copy,,Original UTM confirmed
DCT_154_Dec 11th,,Original UTM confirmed
DCT_107_Dec 11th – UGC,,Original UTM confirmed
DCT_143_Dec 1st,,Original UTM confirmed
DCT_142_Dec 11th – New Copy,,Original UTM confirmed
DCT_152_Dec22 - COPY TESTING,,Original UTM confirmed
DCT_152_Dec22 - COPY TESTING,,Original UTM confirmed
FB Ad (no DCT),,UTM was 'paid' — FB source confirmed
DCT_152_Dec22 - COPY TESTING,,Original UTM confirmed
FB Ad (no DCT),Evergreen 9/18/25,"UTM was 'paid', GHL confirms FB source"
DCT_143_Dec 1st,,Original UTM confirmed
DCT_152_Dec22 - COPY TESTING,,Original UTM confirmed
DCT_152_Jan 5th,,Original UTM confirmed
DCT_128_StaticAD_VSL__October_6th_25,,Original UTM confirmed
FB Ad (no DCT),,UTM was 'paid' — FB source confirmed
DCT_140_Iteration_November 6th,,Original UTM confirmed
DCT_165_USA_Jan 27th,,Original UTM confirmed
DCT_162_USA_Jan 27th,,Original UTM confirmed
DCT_124_StaticAD_VSL B__August_28th_25,,Original UTM confirmed
DCT_160_Jan15th,,Original UTM confirmed
DCT_167_USA_Jan 27th,,Original UTM confirmed
DCT_169_US_Feb5th (4-6),,Original UTM confirmed
FB Ad (broken UTM),Live 1/27/26,Broken UTM macro — FB source confirmed via GHL
DCT_165_USA_Jan 27th,,Original UTM confirmed
DCT_167_USA_Jan 27th,,Original UTM confirmed
DCT_171_Feb 16th,,Original UTM confirmed
DCT_169_Feb 16th,,Original UTM confirmed
Lead Magnet funnel,,Non-webinar conversion path
FB Ad (broken UTM),Live 8/26/25,"UTM was {{adset.name}}, GHL confirms FB ad + attended live"
DCT_169_4 / Hybrid AdFeb 26,,Original UTM confirmed
DCT 111_Static Ad_7 Day,Jul 2025 cycle,Original UTM confirmed
DCT 111_Static Ad_7 Day,Jul 2025 cycle,Original UTM confirmed
DTC_103_UGC_7day_Free_Course,,Original UTM confirmed
DCT 111_Static Ad_7 Day,,Original UTM confirmed
DTC_103_UGC_7day_Free_Course,,Original UTM confirmed
DTC_103_UGC_7day_Free_Course,,Original UTM confirmed
DTC_104_Static Ad 1_7day_Free_Course,,Original UTM confirmed
DTC_100_UGC_7day_Free_Course,,Original UTM confirmed
DCT_127_UGC_VSL_September_11th_25,Sep 2025 cycle,Original UTM confirmed
DCT_127_UGC_VSL_September_11th_25,,Original UTM confirmed
DCT_127_UGC_VSL_October_6th_25,,Original UTM confirmed
DCT_128_StaticAD_VSL__October_6th_25,,Original UTM confirmed
DCT_128_StaticAD_VSL__October_6th_25,,Original UTM confirmed
DCT_148_Australia,Dec 2025 cycle,Original UTM confirmed
1.828712129,,
1.935283441,,
1.70,,
0.7787375989,,
